sepallength,sepalwidth,petallength,petalwidth,class,Name,Score,Color
5.1,3.5,1.4,0.2,Iris-setosa,F1,12,Red
4.9,3,1.4,0.2,Iris-setosa,F2,,Blue
4.7,3.2,1.3,0.2,Iris-setosa,F3,18,Orange
4.6,3.1,1.5,0.2,Iris-setosa,F4,14,Purple
5,3.6,1.4,0.2,Iris-setosa,F5,22,Red
5.4,3.9,1.7,0.4,Iris-setosa,F6,27,Blue
4.6,3.4,1.4,0.3,Iris-setosa,F7,24,Orange
5,3.4,1.5,0.2,Iris-setosa,F8,23,Purple
7,3.2,4.7,1.4,Iris-versicolor,F9,16,Red
6.4,3.2,4.5,1.5,Iris-versicolor,F10,19,Blue
6.9,3.1,4.9,1.5,Iris-versicolor,F11,21,Orange
5.5,2.3,4,1.3,Iris-versicolor,F12,25,Purple
6.5,2.8,4.6,1.5,Iris-versicolor,F13,28,Red
5.7,2.8,4.5,1.3,Iris-versicolor,F14,29,Blue
6.3,3.3,4.7,1.6,Iris-versicolor,F15,11,Orange
4.9,2.4,3.3,1,Iris-versicolor,F16,30,Purple
6.3,3.3,6,2.5,Iris-virginica,F17,12,Red
5.8,2.7,5.1,1.9,Iris-virginica,F18,24,Blue
7.1,3,5.9,2.1,Iris-virginica,F19,17,Orange
6.3,2.9,5.6,1.8,Iris-virginica,F20,15,Purple
6.5,3,5.8,2.2,Iris-virginica,F21,22,Red
7.6,3,6.6,2.1,Iris-virginica,F22,27,Blue
4.9,2.5,4.5,,Iris-virginica,F23,25,Orange
7.3,2.9,6.3,1.8,Iris-virginica,F24,21,Purple
7.3,2.9,6.3,1.8,Iris-virginica,F24,21,Purple
